Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
MUSICA;3º SEMINÁRIO INTERN. EDUCAÇÃO MUSICAL: PRÁTICAS PEDAGÓFICAS KODALY;-;-;30;Quarta;13:00;17:00;1/07/2016;11/07/2016
FAFICH;ABORDAGENS TEMÁTICAS EM SOCIOLOGIA Y;-;-;63;Segunda;13:30;17:10;1/07/2016;11/07/2016
ECI;ACESSO A FONTES INFOR. MEIO DIGITAL;-;-;55;Sexta;19:00;22:30;01/04/2016;31/05/2016
ENG;ACIONAMENTOS ELÉTRICOS;-;-;42;Segunda;09:25;11:05;1/07/2016
FACE;ADMIINISTRAÇÃO E INSTRUMENTOS GERENCIAIS;-;-;50;Quarta;13:30;17:10;1/07/2016;11/07/2016
FACE;ADMIINISTRAÇÃO FINANCEIRA I;-;-;90;Quarta;19:00;20:40;1/07/2016;11/07/2016
FACE;ADMIINISTRAÇÃO FINANCEIRA I;-;-;90;Sexta;19:00;22:30;1/07/2016;11/07/2016
FACE;ADMINISTRAÇÃO FINANCEIRA I;-;-;100;Quarta;07:30;09:10;1/07/2016;11/07/2016
FACE;ADMINISTRAÇÃO FINANCEIRA I;-;-;100;Segunda;07:30;11:00;1/07/2016;11/07/2016
ECI;ADMINISTRAÇÃO: TGA;-;-;45;Quinta;14:00;17:40;1/07/2016;11/07/2016
ECI;ADMINISTRAÇÃO: TGA;-;-;50;Quarta;19:00;22:30;1/07/2016;11/07/2016
FAFICH;AEC I;-;A - PRÁTICA;105;Quarta;13:00;16:30;1/07/2016;11/07/2016
FAFICH;AEC II;-;-;105;Quinta;13:00;16:30;1/07/2016;11/07/2016
EBA;AEDS I;-;-;30;Sexta;18:30;22:30;1/07/2016;11/07/2016
IGC;AMÉRICA LATINA;GEO277;U;40;Terca;13:30;17:30;1/07/2016;07/11/2016
ECI;ANÁLISE DE ASSUNTO;-;-;45;Segunda;07:30;11:10;1/07/2016;11/07/2016
FACE;ANÁLISE DE BALANÇOS;-;-;90;Segunda;07:30;09:10;1/07/2016;11/07/2016
FACE;ANÁLISE DE BALANÇOS;-;-;90;Sexta;07:30;09:10;1/07/2016;11/07/2016
ENG;ANÁLISE DE SISTEMAS DINÂMICOS LINEARES;-;-;42;Quinta;09:25;11:05;1/07/2016;11/07/2016
ENG;ANÁLISE DE SISTEMAS DINÂMICOS LINEARES;-;-;42;Terca;09:25;11:05;1/07/2016;11/07/2016
FAFICH;ANÁLISE EXP. DO COMP. II;-;A;105;Quinta;09:20;11:00;1/07/2016;11/07/2016
FAFICH;ANÁLISE EXPERIMENTAL DO COMPORTAMENTO I;-;A/B;105;Quarta;09:20;11:00;1/07/2016;11/07/2016
FACE;ANÁLISE MACROECONÔMICA II;-;-;100;Quinta;20:50;22:30;1/07/2016;11/07/2016
FACE;ANÁLISE MACROECONÔMICA II;-;-;100;Segunda;19:00;20:40;1/07/2016;11/07/2016
FAFICH;ANÁLISE SÓCIOAMBIENTAL;INU009;-;30;Quarta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;ANÁLISE SÓCIOAMBIENTAL;INU009;-;30;Segunda;20:50;20:30;1/07/2016;11/07/2016
ICB;ANATOMIA COMPARADA;ICB036;-;25;Terca;10:00;12:30;1/07/2016;11/07/2016
FAFICH;ANTROPOLOGIA - ESTUDOS TEMÁTICOS DE LINGUÍSTICA TEÓRICA E DESCRITIVA;-;-;30;Quinta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;ANTROPOLOGIA - ESTUDOS TEMÁTICOS DE LINGUÍSTICA TEÓRICA E DESCRITIVA;-;-;30;Terca;20:50;22:30;1/07/2016;11/07/2016
FAFICH;ANTROPOLOGIA CULTURAL;-;-;90;Sexta;13:30;17:30;1/07/2016;11/07/2016
FAFICH;ANTROPOLOGIA CULTURAL;-;-;105;Quarta;09:20;11:00;1/07/2016;11/07/2016
FAFICH;ANTROPOLOGIA CULTURAL;-;-;105;Sexta;09:20;11:00;1/07/2016;11/07/2016
ENG;APROVEITAMENTO DE RESÍD. CONSTR. CIVIL;EMC032;U;25;Segunda;09:25;12:00;1/07/2016;11/07/2016
ECI;ARQUIVOS PERMANENTES;-;-;40;Sexta;19:00;22:30;1/07/2016;11/07/2016
EBA;ARTE E MÍDIA I;-;-;30;Segunda;18:30;22:00;1/07/2016;11/07/2016
EBA;ARTES VISUAIS I;-;-;30;Quarta;08:00;11:30;1/07/2016;11/07/2016
EBA;ARTES VISUAIS I;-;-;30;Quarta;08:00;12:00;1/07/2016;11/07/2016
EBA;ARTES VISUAIS II;-;-;30;Sexta;08:30;12:00;1/07/2016;11/07/2016
EBA;ARTES VISUAIS NO BRASIL I;-;-;30;Terca;08:00;11:30;1/07/2016;11/07/2016
EBA;ARTES VISUAIS NO BRASIL II;-;-;30;Quinta;13:30;17:00;1/07/2016;11/07/2016
EBA;ATELIÊ DE CRIAÇÃO;-;-;30;Segunda;19:00;22:30;1/07/2016;11/07/2016
EBA;ATELIÊ: CINEMA DE ANIMAÇÃO I;-;-;30;Sexta;18:30;22:00;1/07/2016;11/07/2016
EBA;ATELIÊ: CINEMA DE ANIMAÇÃO I;-;-;30;Terca;18:30;22:00;1/07/2016;11/07/2016
FAFICH;AULAS PRÁTICAS INTEGRADAS DE CAMPO B INU010 PA;INU010;N;70;Sexta;19:00;22:30;1/07/2016;11/07/2016
EBA;AUTORES E ESTILOS CINEMATOGRÁFICOS;-;-;30;Sexta;08:00;12:00;1/07/2016;11/07/2016
FAFICH;AVALIAÇÃO DE POLÍTICAS PÚBLICAS;-;-;30;Sexta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;AVALIAÇÃO DE POLÍTICAS PÚBLICAS;-;-;30;Terca;20:50;22:30;1/07/2016;11/07/2016
ECI;BIBLIOTECAS, ARQUIVOS E MUSEUS DIGITAIS;-;-;40;Quinta;19:00;22:30;1/07/2016;11/07/2016
ECI;BIBLIOTECAS, ARQUIVOS E MUSEUS DIGITAIS;-;-;55;Segunda;19:00;22:30;1/07/2016;11/07/2016
IGC;BIOGEOGRAFIA;GEO207;NB;47;Quinta;19:00;22:30;1/07/2016;11/07/2016
ICEX;CÁLCULO DE VÁRIAS VARIÁVEIS;-;TA;65;Quarta;07:30;09:10;1/07/2016;11/07/2016
ICEX;CÁLCULO DE VÁRIAS VARIÁVEIS;-;TA;65;Segunda;07:30;09:10;1/07/2016;11/07/2016
ICEX;CÁLCULO DIFERENCIAL E INTEGRAL II;-;TA2;60;Quarta;07:30;09:10;1/07/2016;11/07/2016
ICEX;CÁLCULO DIFERENCIAL E INTEGRAL II;-;TA2;60;Segunda;07:30;09:10;1/07/2016;11/07/2016
IGC;CARTOGRAFIA E TOPOGRAFIA;CRT003;A;45;Sexta;08:00;12:30;1/07/2016;11/07/2016
ECI;CATALOGAÇÃO DESCRITIVA;-;-;50;Sexta;14:00;17:40;1/07/2016;11/07/2016
ECI;CATALOGAÇÃO DESCRITIVA;-;-;55;Segunda;19:00;22:30;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;A;40;Quarta;14:30;16:30;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;A;40;Segunda;14:30;16:30;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;B;40;Quinta;11:50;13:20;1/07/2016;11/07/2016
FALE;CHINÊS BÁSICO I;-;B;40;Terca;11:50;13:20;1/07/2016;11/07/2016
ENG;CIÊNCIA DOS MATERIAIS;EQM057;N;50;Quinta;07:30;09:10;1/07/2016;11/07/2016
